property_id,check_in_date,room_category,successful_bookings,capacity,remaining_rooms
16560,2022-05-02,RT4,3,7,4
17561,2022-05-02,RT4,3,4,1
19563,2022-05-03,RT3,15,29,14
16559,2022-05-03,RT1,17,30,13
18560,2022-05-03,RT1,19,30,11
19562,2022-05-03,RT1,19,30,11
19563,2022-05-03,RT1,15,30,15
17558,2022-05-03,RT1,9,19,10
16558,2022-05-03,RT1,14,19,5
17560,2022-05-03,RT1,19,40,21
19558,2022-05-03,RT1,20,40,20
19560,2022-05-03,RT1,14,26,12
17561,2022-05-03,RT1,16,26,10
16560,2022-05-03,RT1,19,34,15
16561,2022-05-03,RT1,10,18,8
16562,2022-05-03,RT1,14,31,17
16563,2022-05-03,RT1,25,41,16
17559,2022-05-03,RT1,20,32,12
17562,2022-05-03,RT1,10,20,10
17563,2022-05-03,RT1,16,25,9
18558,2022-05-03,RT1,8,15,7
18559,2022-05-03,RT1,18,42,24
18561,2022-05-03,RT1,19,33,14
18562,2022-05-03,RT1,23,38,15
18563,2022-05-03,RT1,13,27,14
19559,2022-05-03,RT1,12,24,12
19561,2022-05-03,RT1,20,36,16
17564,2022-05-03,RT1,6,16,10
19562,2022-05-03,RT2,14,23,9
18563,2022-05-03,RT2,14,29,15
17561,2022-05-03,RT2,23,36,13
17558,2022-05-03,RT2,26,50,24
16562,2022-05-03,RT2,19,43,24
16561,2022-05-03,RT2,16,24,8
16558,2022-05-03,RT2,14,22,8
19560,2022-05-03,RT2,25,38,13
16563,2022-05-03,RT2,24,38,14
16559,2022-05-03,RT2,26,41,15
19559,2022-05-03,RT2,22,41,19
19558,2022-05-03,RT2,16,39,23
17559,2022-05-03,RT2,24,39,15
16560,2022-05-03,RT2,16,34,18
18562,2022-05-03,RT2,22,34,12
18559,2022-05-03,RT2,19,44,25
17563,2022-05-03,RT2,30,44,14
17562,2022-05-03,RT2,15,30,15
18558,2022-05-03,RT2,16,30,14
17564,2022-05-03,RT2,16,40,24
18561,2022-05-03,RT2,25,40,15
18560,2022-05-03,RT2,25,40,15
17560,2022-05-03,RT2,22,45,23
19561,2022-05-03,RT2,21,45,24
19563,2022-05-03,RT2,23,45,22
19562,2022-05-03,RT3,18,29,11
19561,2022-05-03,RT3,14,29,15
18562,2022-05-03,RT3,17,29,12
17558,2022-05-03,RT3,15,27,12
17562,2022-05-03,RT3,12,27,15
19559,2022-05-03,RT3,14,27,13
16559,2022-05-03,RT3,21,32,11
16558,2022-05-03,RT3,5,8,3
18561,2022-05-03,RT3,15,25,10
18560,2022-05-03,RT3,15,24,9
16562,2022-05-03,RT3,8,18,10
16561,2022-05-03,RT3,13,21,8
16563,2022-05-03,RT3,13,20,7
18558,2022-05-03,RT3,13,26,13
18559,2022-05-03,RT3,9,23,14
19558,2022-05-03,RT3,9,21,12
16560,2022-05-03,RT3,10,20,10
17559,2022-05-03,RT3,10,16,6
17563,2022-05-03,RT3,10,16,6
17561,2022-05-03,RT3,12,19,7
19560,2022-05-03,RT3,12,19,7
17560,2022-05-03,RT3,11,25,14
18563,2022-05-03,RT3,11,23,12
17564,2022-05-03,RT3,11,24,13
17562,2022-05-03,RT4,2,6,4
16558,2022-05-03,RT4,2,3,1
19563,2022-05-03,RT4,4,6,2
19561,2022-05-03,RT4,4,7,3
18561,2022-05-03,RT4,5,9,4
16561,2022-05-03,RT4,7,10,3
17560,2022-05-03,RT4,7,13,6
19559,2022-05-03,RT4,1,3,2
17564,2022-05-03,RT4,7,17,10
18560,2022-05-03,RT4,9,15,6
19560,2022-05-03,RT4,10,16,6
18559,2022-05-03,RT4,9,19,10
17563,2022-05-03,RT4,11,19,8
19562,2022-05-03,RT4,9,14,5
17559,2022-05-03,RT4,10,14,4
18558,2022-05-03,RT4,10,20,10
18562,2022-05-03,RT4,12,20,8
18563,2022-05-03,RT4,8,18,10
16563,2022-05-03,RT4,11,18,7
16559,2022-05-03,RT4,11,18,7
16562,2022-05-03,RT4,3,6,3
17558,2022-05-03,RT4,3,6,3
16560,2022-05-03,RT4,3,7,4
19558,2022-05-03,RT4,3,7,4
17561,2022-05-03,RT4,3,4,1
19563,2022-05-04,RT3,15,29,14
18560,2022-05-04,RT1,20,30,10
19562,2022-05-04,RT1,17,30,13
19563,2022-05-04,RT1,14,30,16
17558,2022-05-04,RT1,9,19,10
16558,2022-05-04,RT1,13,19,6
17560,2022-05-04,RT1,22,40,18
19558,2022-05-04,RT1,15,40,25
19560,2022-05-04,RT1,16,26,10
17561,2022-05-04,RT1,15,26,11
16560,2022-05-04,RT1,17,34,17
16561,2022-05-04,RT1,11,18,7
16562,2022-05-04,RT1,16,31,15
16563,2022-05-04,RT1,28,41,13
17559,2022-05-04,RT1,19,32,13
17562,2022-05-04,RT1,9,20,11
17563,2022-05-04,RT1,16,25,9
18558,2022-05-04,RT1,7,15,8
18559,2022-05-04,RT1,18,42,24
18561,2022-05-04,RT1,22,33,11
18562,2022-05-04,RT1,25,38,13
18563,2022-05-04,RT1,16,27,11
19559,2022-05-04,RT1,12,24,12
19561,2022-05-04,RT1,16,36,20
17564,2022-05-04,RT1,7,16,9
19562,2022-05-04,RT2,14,23,9
18563,2022-05-04,RT2,16,29,13
17561,2022-05-04,RT2,21,36,15
17558,2022-05-04,RT2,27,50,23
16562,2022-05-04,RT2,21,43,22
16561,2022-05-04,RT2,15,24,9
16558,2022-05-04,RT2,14,22,8
19560,2022-05-04,RT2,21,38,17
16563,2022-05-04,RT2,23,38,15
16559,2022-05-04,RT2,28,41,13
19559,2022-05-04,RT2,22,41,19
19558,2022-05-04,RT2,18,39,21
17559,2022-05-04,RT2,23,39,16
16560,2022-05-04,RT2,20,34,14
18562,2022-05-04,RT2,22,34,12
18559,2022-05-04,RT2,19,44,25
17563,2022-05-04,RT2,29,44,15
17562,2022-05-04,RT2,11,30,19
18558,2022-05-04,RT2,16,30,14
17564,2022-05-04,RT2,18,40,22
18561,2022-05-04,RT2,25,40,15
18560,2022-05-04,RT2,28,40,12
17560,2022-05-04,RT2,20,45,25
19561,2022-05-04,RT2,21,45,24
19563,2022-05-04,RT2,20,45,25
16559,2022-05-04,RT1,21,30,9
19562,2022-05-04,RT3,20,29,9
19561,2022-05-04,RT3,13,29,16
18562,2022-05-04,RT3,16,29,13
17558,2022-05-04,RT3,12,27,15
17562,2022-05-04,RT3,9,27,18
19559,2022-05-04,RT3,14,27,13
16559,2022-05-04,RT3,19,32,13
16558,2022-05-04,RT3,6,8,2
18561,2022-05-04,RT3,16,25,9
18560,2022-05-04,RT3,17,24,7
17563,2022-05-04,RT3,8,16,8
17564,2022-05-04,RT3,8,24,16
16561,2022-05-04,RT3,14,21,7
17560,2022-05-04,RT3,14,25,11
18558,2022-05-04,RT3,14,26,12
19558,2022-05-04,RT3,9,21,12
16560,2022-05-04,RT3,10,20,10
17561,2022-05-04,RT3,10,19,9
18559,2022-05-04,RT3,10,23,13
16563,2022-05-04,RT3,12,20,8
17559,2022-05-04,RT3,12,16,4
16562,2022-05-04,RT3,11,18,7
18563,2022-05-04,RT3,11,23,12
19560,2022-05-04,RT3,11,19,8
17562,2022-05-04,RT4,2,6,4
19559,2022-05-04,RT4,2,3,1
16558,2022-05-04,RT4,2,3,1
18561,2022-05-04,RT4,4,9,5
16561,2022-05-04,RT4,5,10,5
17560,2022-05-04,RT4,6,13,7
17564,2022-05-04,RT4,9,17,8
18560,2022-05-04,RT4,10,15,5
19560,2022-05-04,RT4,11,16,5
18559,2022-05-04,RT4,8,19,11
17563,2022-05-04,RT4,11,19,8
19562,2022-05-04,RT4,8,14,6
17559,2022-05-04,RT4,9,14,5
18558,2022-05-04,RT4,11,20,9
18562,2022-05-04,RT4,12,20,8
18563,2022-05-04,RT4,8,18,10
16563,2022-05-04,RT4,12,18,6
16559,2022-05-04,RT4,11,18,7
16562,2022-05-04,RT4,3,6,3
17558,2022-05-04,RT4,3,6,3
19563,2022-05-04,RT4,3,6,3
16560,2022-05-04,RT4,3,7,4
19558,2022-05-04,RT4,3,7,4
19561,2022-05-04,RT4,3,7,4
17561,2022-05-04,RT4,3,4,1
16559,2022-05-05,RT1,16,30,14
18560,2022-05-05,RT1,15,30,15
19562,2022-05-05,RT1,19,30,11
19563,2022-05-05,RT1,14,30,16
17558,2022-05-05,RT1,10,19,9
16558,2022-05-05,RT1,12,19,7
17560,2022-05-05,RT1,20,40,20
19558,2022-05-05,RT1,18,40,22
19560,2022-05-05,RT1,18,26,8
17561,2022-05-05,RT1,15,26,11
16560,2022-05-05,RT1,17,34,17
16561,2022-05-05,RT1,13,18,5
16562,2022-05-05,RT1,15,31,16
16563,2022-05-05,RT1,30,41,11
17559,2022-05-05,RT1,21,32,11
17562,2022-05-05,RT1,8,20,12
17563,2022-05-05,RT1,18,25,7
18558,2022-05-05,RT1,8,15,7
18559,2022-05-05,RT1,16,42,26
18561,2022-05-05,RT1,25,33,8
18562,2022-05-05,RT1,24,38,14
18563,2022-05-05,RT1,14,27,13
19559,2022-05-05,RT1,13,24,11
19561,2022-05-05,RT1,17,36,19
17564,2022-05-05,RT1,6,16,10
19562,2022-05-05,RT2,15,23,8
18563,2022-05-05,RT2,14,29,15
17561,2022-05-05,RT2,25,36,11
17558,2022-05-05,RT2,29,50,21
16562,2022-05-05,RT2,20,43,23
16561,2022-05-05,RT2,15,24,9
16558,2022-05-05,RT2,13,22,9
19560,2022-05-05,RT2,27,38,11
16563,2022-05-05,RT2,25,38,13
16559,2022-05-05,RT2,24,41,17
19559,2022-05-05,RT2,23,41,18
19558,2022-05-05,RT2,20,39,19
17559,2022-05-05,RT2,26,39,13
16560,2022-05-05,RT2,19,34,15
18562,2022-05-05,RT2,22,34,12
18559,2022-05-05,RT2,22,44,22
17563,2022-05-05,RT2,28,44,16
17562,2022-05-05,RT2,13,30,17
18558,2022-05-05,RT2,15,30,15
17564,2022-05-05,RT2,18,40,22
18561,2022-05-05,RT2,26,40,14
18560,2022-05-05,RT2,26,40,14
17560,2022-05-05,RT2,20,45,25
19561,2022-05-05,RT2,21,45,24
19563,2022-05-05,RT2,22,45,23
19563,2022-05-05,RT3,14,29,15
19562,2022-05-05,RT3,19,29,10
19561,2022-05-05,RT3,14,29,15
18562,2022-05-05,RT3,18,29,11
17558,2022-05-05,RT3,14,27,13
17562,2022-05-05,RT3,11,27,16
19559,2022-05-05,RT3,14,27,13
16559,2022-05-05,RT3,20,32,12
16558,2022-05-05,RT3,4,8,4
18561,2022-05-05,RT3,15,25,10
18560,2022-05-05,RT3,16,24,8
17560,2022-05-05,RT3,13,25,12
16563,2022-05-05,RT3,14,20,6
16562,2022-05-05,RT3,9,18,9
19558,2022-05-05,RT3,9,21,12
16560,2022-05-05,RT3,10,20,10
17559,2022-05-05,RT3,10,16,6
17563,2022-05-05,RT3,10,16,6
18559,2022-05-05,RT3,10,23,13
16561,2022-05-05,RT3,12,21,9
18558,2022-05-05,RT3,12,26,14
19560,2022-05-05,RT3,12,19,7
17564,2022-05-05,RT3,12,24,12
17561,2022-05-05,RT3,11,19,8
18563,2022-05-05,RT3,11,23,12
19559,2022-05-05,RT4,2,3,1
16558,2022-05-05,RT4,2,3,1
16560,2022-05-05,RT4,4,7,3
19561,2022-05-05,RT4,4,7,3
18561,2022-05-05,RT4,5,9,4
16561,2022-05-05,RT4,6,10,4
17560,2022-05-05,RT4,6,13,7
17564,2022-05-05,RT4,7,17,10
18560,2022-05-05,RT4,10,15,5
19560,2022-05-05,RT4,10,16,6
18559,2022-05-05,RT4,8,19,11
17563,2022-05-05,RT4,12,19,7
19562,2022-05-05,RT4,9,14,5
17559,2022-05-05,RT4,8,14,6
18558,2022-05-05,RT4,11,20,9
18562,2022-05-05,RT4,12,20,8
18563,2022-05-05,RT4,10,18,8
16563,2022-05-05,RT4,12,18,6
16559,2022-05-05,RT4,13,18,5
16562,2022-05-05,RT4,3,6,3
17558,2022-05-05,RT4,3,6,3
17562,2022-05-05,RT4,3,6,3
19563,2022-05-05,RT4,3,6,3
19558,2022-05-05,RT4,3,7,4
17561,2022-05-05,RT4,3,4,1
16559,2022-05-06,RT1,21,30,9
18560,2022-05-06,RT1,20,30,10
19562,2022-05-06,RT1,18,30,12
19563,2022-05-06,RT1,15,30,15
17558,2022-05-06,RT1,9,19,10
16558,2022-05-06,RT1,10,19,9
17560,2022-05-06,RT1,18,40,22
19558,2022-05-06,RT1,18,40,22
19560,2022-05-06,RT1,17,26,9
17561,2022-05-06,RT1,16,26,10
16560,2022-05-06,RT1,19,34,15
16561,2022-05-06,RT1,12,18,6
16562,2022-05-06,RT1,14,31,17
16563,2022-05-06,RT1,23,41,18
17559,2022-05-06,RT1,19,32,13
17562,2022-05-06,RT1,8,20,12
17563,2022-05-06,RT1,14,25,11
18558,2022-05-06,RT1,7,15,8
18559,2022-05-06,RT1,18,42,24
18561,2022-05-06,RT1,23,33,10
18562,2022-05-06,RT1,24,38,14
18563,2022-05-06,RT1,12,27,15
19559,2022-05-06,RT1,14,24,10
19561,2022-05-06,RT1,20,36,16
17564,2022-05-06,RT1,7,16,9
19562,2022-05-06,RT2,18,23,5
18563,2022-05-06,RT2,15,29,14
17561,2022-05-06,RT2,20,36,16
17558,2022-05-06,RT2,29,50,21
16562,2022-05-06,RT2,24,43,19
16561,2022-05-06,RT2,14,24,10
16558,2022-05-06,RT2,15,22,7
19560,2022-05-06,RT2,22,38,16
16563,2022-05-06,RT2,27,38,11
16559,2022-05-06,RT2,23,41,18
19559,2022-05-06,RT2,20,41,21
19558,2022-05-06,RT2,14,39,25
17559,2022-05-06,RT2,25,39,14
16560,2022-05-06,RT2,18,34,16
18562,2022-05-06,RT2,26,34,8
18559,2022-05-06,RT2,20,44,24
17563,2022-05-06,RT2,28,44,16
17562,2022-05-06,RT2,12,30,18
18558,2022-05-06,RT2,17,30,13
17564,2022-05-06,RT2,18,40,22
18561,2022-05-06,RT2,23,40,17
18560,2022-05-06,RT2,24,40,16
17560,2022-05-06,RT2,22,45,23
19561,2022-05-06,RT2,24,45,21
19563,2022-05-06,RT2,23,45,22
19563,2022-05-06,RT3,14,29,15
19562,2022-05-06,RT3,20,29,9
19561,2022-05-06,RT3,13,29,16
18562,2022-05-06,RT3,21,29,8
17558,2022-05-06,RT3,12,27,15
17562,2022-05-06,RT3,10,27,17
19559,2022-05-06,RT3,13,27,14
16559,2022-05-06,RT3,20,32,12
16558,2022-05-06,RT3,5,8,3
18561,2022-05-06,RT3,17,25,8
16563,2022-05-06,RT3,15,20,5
17561,2022-05-06,RT3,13,19,6
19560,2022-05-06,RT3,13,19,6
18558,2022-05-06,RT3,14,26,12
18560,2022-05-06,RT3,14,24,10
16562,2022-05-06,RT3,9,18,9
18559,2022-05-06,RT3,9,23,14
17563,2022-05-06,RT3,10,16,6
19558,2022-05-06,RT3,10,21,11
17564,2022-05-06,RT3,10,24,14
16561,2022-05-06,RT3,12,21,9
17560,2022-05-06,RT3,12,25,13
18563,2022-05-06,RT3,12,23,11
16560,2022-05-06,RT3,11,20,9
17559,2022-05-06,RT3,11,16,5
17562,2022-05-06,RT4,2,6,4
19559,2022-05-06,RT4,2,3,1
16558,2022-05-06,RT4,2,3,1
16560,2022-05-06,RT4,4,7,3
18561,2022-05-06,RT4,4,9,5
17560,2022-05-06,RT4,5,13,8
16561,2022-05-06,RT4,6,10,4
17564,2022-05-06,RT4,7,17,10
18560,2022-05-06,RT4,9,15,6
19560,2022-05-06,RT4,9,16,7
18559,2022-05-06,RT4,9,19,10
17563,2022-05-06,RT4,12,19,7
19562,2022-05-06,RT4,8,14,6
17559,2022-05-06,RT4,8,14,6
18558,2022-05-06,RT4,11,20,9
18562,2022-05-06,RT4,14,20,6
18563,2022-05-06,RT4,9,18,9
16563,2022-05-06,RT4,11,18,7
16559,2022-05-06,RT4,11,18,7
16562,2022-05-06,RT4,3,6,3
17558,2022-05-06,RT4,3,6,3
19563,2022-05-06,RT4,3,6,3
19558,2022-05-06,RT4,3,7,4
19561,2022-05-06,RT4,3,7,4
17561,2022-05-06,RT4,3,4,1
19563,2022-05-07,RT3,20,29,9
18560,2022-05-07,RT1,28,30,2
19562,2022-05-07,RT1,28,30,2
19563,2022-05-07,RT1,21,30,9
17558,2022-05-07,RT1,15,19,4
16558,2022-05-07,RT1,17,19,2
17560,2022-05-07,RT1,31,40,9
19558,2022-05-07,RT1,22,40,18
19560,2022-05-07,RT1,26,26,0
17561,2022-05-07,RT1,22,26,4
16560,2022-05-07,RT1,26,34,8
16561,2022-05-07,RT1,15,18,3
16562,2022-05-07,RT1,25,31,6
16563,2022-05-07,RT1,37,41,4
17559,2022-05-07,RT1,29,32,3
17562,2022-05-07,RT1,13,20,7
17563,2022-05-07,RT1,21,25,4
18558,2022-05-07,RT1,11,15,4
18559,2022-05-07,RT1,22,42,20
18561,2022-05-07,RT1,28,33,5
18562,2022-05-07,RT1,33,38,5
18563,2022-05-07,RT1,20,27,7
19559,2022-05-07,RT1,18,24,6
19561,2022-05-07,RT1,26,36,10
17564,2022-05-07,RT1,9,16,7
19562,2022-05-07,RT2,22,23,1
18563,2022-05-07,RT2,20,29,9
17561,2022-05-07,RT2,30,36,6
17558,2022-05-07,RT2,39,50,11
16562,2022-05-07,RT2,31,43,12
16561,2022-05-07,RT2,21,24,3
16558,2022-05-07,RT2,18,22,4
19560,2022-05-07,RT2,33,38,5
16563,2022-05-07,RT2,37,38,1
16559,2022-05-07,RT2,36,41,5
19559,2022-05-07,RT2,28,41,13
19558,2022-05-07,RT2,23,39,16
17559,2022-05-07,RT2,33,39,6
16560,2022-05-07,RT2,24,34,10
18562,2022-05-07,RT2,28,34,6
18559,2022-05-07,RT2,28,44,16
17563,2022-05-07,RT2,39,44,5
17562,2022-05-07,RT2,16,30,14
18558,2022-05-07,RT2,22,30,8
17564,2022-05-07,RT2,21,40,19
18561,2022-05-07,RT2,40,40,0
18560,2022-05-07,RT2,38,40,2
17560,2022-05-07,RT2,31,45,14
19561,2022-05-07,RT2,34,45,11
19563,2022-05-07,RT2,31,45,14
16559,2022-05-07,RT1,28,30,2
19562,2022-05-07,RT3,26,29,3
19561,2022-05-07,RT3,22,29,7
18562,2022-05-07,RT3,29,29,0
17558,2022-05-07,RT3,19,27,8
17562,2022-05-07,RT3,16,27,11
19559,2022-05-07,RT3,20,27,7
16559,2022-05-07,RT3,28,32,4
16558,2022-05-07,RT3,7,8,1
17560,2022-05-07,RT3,18,25,7
18561,2022-05-07,RT3,21,25,4
16561,2022-05-07,RT3,20,21,1
16563,2022-05-07,RT3,17,20,3
17561,2022-05-07,RT3,19,19,0
18558,2022-05-07,RT3,19,26,7
18560,2022-05-07,RT3,20,24,4
18563,2022-05-07,RT3,18,23,5
19560,2022-05-07,RT3,16,19,3
17563,2022-05-07,RT3,15,16,1
18559,2022-05-07,RT3,15,23,8
17564,2022-05-07,RT3,15,24,9
16560,2022-05-07,RT3,14,20,6
16562,2022-05-07,RT3,14,18,4
17559,2022-05-07,RT3,14,16,2
19558,2022-05-07,RT3,12,21,9
19559,2022-05-07,RT4,2,3,1
16562,2022-05-07,RT4,4,6,2
19558,2022-05-07,RT4,4,7,3
17561,2022-05-07,RT4,4,4,0
16560,2022-05-07,RT4,5,7,2
17558,2022-05-07,RT4,5,6,1
19561,2022-05-07,RT4,5,7,2
19563,2022-05-07,RT4,5,6,1
16561,2022-05-07,RT4,9,10,1
17560,2022-05-07,RT4,10,13,3
18561,2022-05-07,RT4,8,9,1
17564,2022-05-07,RT4,12,17,5
18560,2022-05-07,RT4,14,15,1
19560,2022-05-07,RT4,16,16,0
18559,2022-05-07,RT4,13,19,6
17563,2022-05-07,RT4,16,19,3
19562,2022-05-07,RT4,13,14,1
17559,2022-05-07,RT4,14,14,0
18558,2022-05-07,RT4,15,20,5
18562,2022-05-07,RT4,19,20,1
18563,2022-05-07,RT4,12,18,6
